date,agent,equity,cash,spy_close
2026-06-10,bull,98374.22,74304.65,727.87
2026-06-10,aggro,92766.31,13885.38,725.43
2026-06-11,bull,98825.30,74304.63,737.62
2026-06-11,aggro,94155.63,13885.38,737.76
2026-06-12,bull,98696.00,74304.63,741.02
2026-06-12,aggro,94051.73,13885.38,741.02
2026-06-15,bull,98897.57,74304.63,754.04
2026-06-15,aggro,97186.26,6553.25,754.83
2026-06-16,bull,99209.83,74304.63,751.01
2026-06-16,aggro,95591.38,6553.24,750.33
2026-06-17,bull,99037.62,74304.63,740.23
2026-06-17,aggro,94645.89,6553.24,740.96
2026-06-18,bull,99074.81,74304.63,747.47
2026-06-18,aggro,96864.56,12573.49,746.74
2026-06-19,bull,99039.61,74304.63,747.47
